# Groupings of all ligands that may be found in the BioLiP structural database
# The 4 nucleic acids entries ("NUCACID_") include: NUCDNA, NUCDNAB, NUCRNA, NUCRNAB
# The 2 DNA entries ("DNA_") include: NUCDNA, NUCDNAB
# The 2 RNA entries ("RNA_") include: NUCRNA, NUCRNAB
# All 204 ion entries ("ION_") were extracted from wwPDB's Chemical Component Dictionary (http://www.wwpdb.org/data/ccd),
# All 8428 drug entries ("DRUGLIKE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to drug SMILES strings obtained from DrugBank (https://www.drugbank.ca/releases/latest)
# All 4070 metabolite entries ("METABOLITE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to *endogenous metabolite* SMILES strings from the Human Metabolome Database
#  (http://www.hmdb.ca/system/downloads/current/hmdb_metabolites.zip)
# LAST UPDATED: September 26, 2018
#group_name	original_ligand_mmCIF_identifier
METABOLITE_	09N
METABOLITE_	0A
METABOLITE_	0A0
METABOLITE_	0A1
METABOLITE_	0AD
METABOLITE_	0AF
METABOLITE_	0AI
METABOLITE_	0AL
METABOLITE_	0AP
METABOLITE_	0AR
METABOLITE_	0AS
METABOLITE_	0AT
METABOLITE_	0AU
METABOLITE_	0AV
METABOLITE_	0AZ
METABOLITE_	0BD
METABOLITE_	0BV
METABOLITE_	0C
METABOLITE_	0D8
METABOLITE_	0DA
METABOLITE_	0DC
METABOLITE_	0DG
METABOLITE_	0DT
METABOLITE_	0E5
METABOLITE_	0EH
METABOLITE_	0ET
METABOLITE_	0FQ
METABOLITE_	0FX
METABOLITE_	0G
METABOLITE_	0G8
METABOLITE_	0GV
METABOLITE_	0HH
METABOLITE_	0HN
METABOLITE_	0JY
METABOLITE_	0K3
METABOLITE_	0L1
METABOLITE_	0MK
METABOLITE_	0N2
METABOLITE_	0NM
METABOLITE_	0NZ
METABOLITE_	0O2
METABOLITE_	0O3
METABOLITE_	0P0
METABOLITE_	0PA
METABOLITE_	0PZ
METABOLITE_	0QA
METABOLITE_	0QG
METABOLITE_	0QL
METABOLITE_	0RE
METABOLITE_	0RQ
METABOLITE_	0SG
METABOLITE_	0SH
METABOLITE_	0SM
METABOLITE_	0T1
METABOLITE_	0T9
METABOLITE_	0U
METABOLITE_	0U8
METABOLITE_	0UB
METABOLITE_	0UH
METABOLITE_	0UT
METABOLITE_	0V5
METABOLITE_	0VT
METABOLITE_	0W5
METABOLITE_	0WD
METABOLITE_	0WU
METABOLITE_	0XE
METABOLITE_	0XL
METABOLITE_	0XO
METABOLITE_	0XQ
METABOLITE_	0XR
METABOLITE_	0XW
METABOLITE_	0ZN
METABOLITE_	101
METABOLITE_	102
METABOLITE_	103
METABOLITE_	104
METABOLITE_	10A
METABOLITE_	10C
METABOLITE_	10X
METABOLITE_	10Y
METABOLITE_	114
METABOLITE_	115
METABOLITE_	117
METABOLITE_	11A
METABOLITE_	11C
METABOLITE_	11O
METABOLITE_	11Z
METABOLITE_	12H
METABOLITE_	12L
METABOLITE_	13D
METABOLITE_	13H
METABOLITE_	13P
METABOLITE_	13R
METABOLITE_	13S
METABOLITE_	13X
METABOLITE_	140
METABOLITE_	141
METABOLITE_	149
METABOLITE_	14B
METABOLITE_	14U
METABOLITE_	14V
METABOLITE_	14Y
METABOLITE_	152
METABOLITE_	15L
METABOLITE_	15W
METABOLITE_	15Z
METABOLITE_	16B
METABOLITE_	16C
METABOLITE_	16D
METABOLITE_	16G
METABOLITE_	16Q
METABOLITE_	16S
METABOLITE_	16Y
METABOLITE_	173
METABOLITE_	17E
METABOLITE_	17F
METABOLITE_	17N
METABOLITE_	17Z
METABOLITE_	18B
METABOLITE_	18C
METABOLITE_	18D
METABOLITE_	18L
METABOLITE_	18M
METABOLITE_	18T
METABOLITE_	191
METABOLITE_	192
METABOLITE_	193
METABOLITE_	1AC
METABOLITE_	1AG
METABOLITE_	1AL
METABOLITE_	1AP
METABOLITE_	1AR
METABOLITE_	1AT
METABOLITE_	1BO
METABOLITE_	1C4
METABOLITE_	1CA
METABOLITE_	1CF
METABOLITE_	1CP
METABOLITE_	1CV
METABOLITE_	1CW
METABOLITE_	1CZ
METABOLITE_	1DO
METABOLITE_	1DS
METABOLITE_	1E2
METABOLITE_	1E3
METABOLITE_	1EM
METABOLITE_	1GB
METABOLITE_	1GL
METABOLITE_	1GN
METABOLITE_	1GP
METABOLITE_	1GZ
METABOLITE_	1HA
METABOLITE_	1HC
METABOLITE_	1HE
METABOLITE_	1HN
METABOLITE_	1HU
METABOLITE_	1JB
METABOLITE_	1L2
METABOLITE_	1LP
METABOLITE_	1LU
METABOLITE_	1MA
METABOLITE_	1MC
METABOLITE_	1MG
METABOLITE_	1MR
METABOLITE_	1NA
METABOLITE_	1NP
METABOLITE_	1O2
METABOLITE_	1OH
METABOLITE_	1PX
METABOLITE_	1PY
METABOLITE_	1PZ
METABOLITE_	1Q0
METABOLITE_	1QQ
METABOLITE_	1QW
METABOLITE_	1RY
METABOLITE_	1RZ
METABOLITE_	1S0
METABOLITE_	1SC
METABOLITE_	1SH
METABOLITE_	1SP
METABOLITE_	1SY
METABOLITE_	1T4
METABOLITE_	1T9
METABOLITE_	1TL
METABOLITE_	1UC
METABOLITE_	1VR
METABOLITE_	1VU
METABOLITE_	1VY
METABOLITE_	1WE
METABOLITE_	1WF
METABOLITE_	1WV
METABOLITE_	1XH
METABOLITE_	1XX
METABOLITE_	1Y7
METABOLITE_	1Y8
METABOLITE_	1YA
METABOLITE_	1YC
METABOLITE_	1YD
METABOLITE_	1YF
METABOLITE_	1YJ
METABOLITE_	1YN
METABOLITE_	1ZT
METABOLITE_	1ZZ
METABOLITE_	20B
METABOLITE_	20E
METABOLITE_	20S
METABOLITE_	211
METABOLITE_	212
METABOLITE_	21B
METABOLITE_	226
METABOLITE_	22B
METABOLITE_	22G
METABOLITE_	23A
METABOLITE_	23B
METABOLITE_	23G
METABOLITE_	23T
METABOLITE_	243
METABOLITE_	24G
METABOLITE_	25A
METABOLITE_	25L
METABOLITE_	261
METABOLITE_	26A
METABOLITE_	26P
METABOLITE_	27E
METABOLITE_	27G
METABOLITE_	27J
METABOLITE_	27K
METABOLITE_	27L
METABOLITE_	27M
METABOLITE_	289
METABOLITE_	28E
METABOLITE_	28H
METABOLITE_	28J
METABOLITE_	28U
METABOLITE_	28Z
METABOLITE_	293
METABOLITE_	297
METABOLITE_	29C
METABOLITE_	29D
METABOLITE_	29J
METABOLITE_	2A5
METABOLITE_	2A7
METABOLITE_	2A9
METABOLITE_	2AD
METABOLITE_	2AF
METABOLITE_	2AM
METABOLITE_	2AS
METABOLITE_	2AU
METABOLITE_	2BA
METABOLITE_	2BR
METABOLITE_	2CK
METABOLITE_	2CP
METABOLITE_	2CV
METABOLITE_	2DA
METABOLITE_	2DC
METABOLITE_	2DE
METABOLITE_	2DG
METABOLITE_	2DI
METABOLITE_	2DR
METABOLITE_	2DS
METABOLITE_	2DT
METABOLITE_	2EG
METABOLITE_	2EH
METABOLITE_	2EP
METABOLITE_	2F8
METABOLITE_	2FI
METABOLITE_	2FK
METABOLITE_	2FP
METABOLITE_	2G3
METABOLITE_	2GL
METABOLITE_	2GP
METABOLITE_	2GS
METABOLITE_	2H3
METABOLITE_	2H4
METABOLITE_	2HA
METABOLITE_	2HC
METABOLITE_	2HG
METABOLITE_	2HI
METABOLITE_	2HP
METABOLITE_	2IP
METABOLITE_	2J3
METABOLITE_	2JC
METABOLITE_	2JH
METABOLITE_	2JN
METABOLITE_	2JT
METABOLITE_	2K1
METABOLITE_	2K3
METABOLITE_	2KQ
METABOLITE_	2KT
METABOLITE_	2KY
METABOLITE_	2LT
METABOLITE_	2M4
METABOLITE_	2M5
METABOLITE_	2M6
METABOLITE_	2M8
METABOLITE_	2MC
METABOLITE_	2MG
METABOLITE_	2MH
METABOLITE_	2ML
METABOLITE_	2MP
METABOLITE_	2MR
METABOLITE_	2MY
METABOLITE_	2ND
METABOLITE_	2NE
METABOLITE_	2NF
METABOLITE_	2NO
METABOLITE_	2OA
METABOLITE_	2OB
METABOLITE_	2OG
METABOLITE_	2OH
METABOLITE_	2OP
METABOLITE_	2PC
METABOLITE_	2PG
METABOLITE_	2PI
METABOLITE_	2PL
METABOLITE_	2PM
METABOLITE_	2PO
METABOLITE_	2PR
METABOLITE_	2Q2
METABOLITE_	2Q5
METABOLITE_	2RA
METABOLITE_	2RH
METABOLITE_	2RW
METABOLITE_	2SA
METABOLITE_	2SP
METABOLITE_	2TD
METABOLITE_	2TL
METABOLITE_	2TP
METABOLITE_	2TX
METABOLITE_	2UF
METABOLITE_	2UO
METABOLITE_	2WS
METABOLITE_	2XH
METABOLITE_	2Y5
METABOLITE_	2YH
METABOLITE_	2YJ
METABOLITE_	2YN
METABOLITE_	2YP
METABOLITE_	2ZE
METABOLITE_	2ZO
METABOLITE_	308
METABOLITE_	30N
METABOLITE_	30Z
METABOLITE_	323
METABOLITE_	32O
METABOLITE_	33D
METABOLITE_	33X
METABOLITE_	34D
METABOLITE_	34G
METABOLITE_	34H
METABOLITE_	34V
METABOLITE_	34Z
METABOLITE_	356
METABOLITE_	35G
METABOLITE_	36J
METABOLITE_	36M
METABOLITE_	377
METABOLITE_	37T
METABOLITE_	37X
METABOLITE_	37Z
METABOLITE_	38J
METABOLITE_	38L
METABOLITE_	38S
METABOLITE_	38T
METABOLITE_	39A
METABOLITE_	39N
METABOLITE_	39S
METABOLITE_	39Y
METABOLITE_	3A0
METABOLITE_	3AD
METABOLITE_	3AL
METABOLITE_	3AM
METABOLITE_	3AN
METABOLITE_	3AQ
METABOLITE_	3AR
METABOLITE_	3AT
METABOLITE_	3AV
METABOLITE_	3BU
METABOLITE_	3BY
METABOLITE_	3BZ
METABOLITE_	3CD
METABOLITE_	3CE
METABOLITE_	3CH
METABOLITE_	3CK
METABOLITE_	3CM
METABOLITE_	3CP
METABOLITE_	3CT
METABOLITE_	3D1
METABOLITE_	3DA
METABOLITE_	3DG
METABOLITE_	3DH
METABOLITE_	3DJ
METABOLITE_	3DM
METABOLITE_	3DO
METABOLITE_	3DT
METABOLITE_	3DY
METABOLITE_	3E9
METABOLITE_	3EE
METABOLITE_	3ET
METABOLITE_	3EV
METABOLITE_	3G6
METABOLITE_	3GB
METABOLITE_	3GC
METABOLITE_	3GD
METABOLITE_	3GH
METABOLITE_	3GL
METABOLITE_	3GP
METABOLITE_	3GR
METABOLITE_	3GU
METABOLITE_	3GY
METABOLITE_	3H0
METABOLITE_	3H2
METABOLITE_	3H9
METABOLITE_	3HA
METABOLITE_	3HB
METABOLITE_	3HC
METABOLITE_	3HD
METABOLITE_	3HG
METABOLITE_	3HI
METABOLITE_	3HL
METABOLITE_	3HO
METABOLITE_	3HP
METABOLITE_	3HR
METABOLITE_	3IB
METABOLITE_	3ID
METABOLITE_	3IL
METABOLITE_	3J6
METABOLITE_	3K5
METABOLITE_	3KA
METABOLITE_	3KJ
METABOLITE_	3KK
METABOLITE_	3KL
METABOLITE_	3KS
METABOLITE_	3KV
METABOLITE_	3L1
METABOLITE_	3LA
METABOLITE_	3LF
METABOLITE_	3LJ
METABOLITE_	3LR
METABOLITE_	3LX
METABOLITE_	3M0
METABOLITE_	3MA
METABOLITE_	3MC
METABOLITE_	3MD
METABOLITE_	3MG
METABOLITE_	3MU
METABOLITE_	3MV
METABOLITE_	3MY
METABOLITE_	3NF
METABOLITE_	3OC
METABOLITE_	3OD
METABOLITE_	3OG
METABOLITE_	3OH
METABOLITE_	3OL
METABOLITE_	3OM
METABOLITE_	3ON
METABOLITE_	3P8
METABOLITE_	3P9
METABOLITE_	3PA
METABOLITE_	3PD
METABOLITE_	3PE
METABOLITE_	3PG
METABOLITE_	3PH
METABOLITE_	3PK
METABOLITE_	3PL
METABOLITE_	3PO
METABOLITE_	3PT
METABOLITE_	3PV
METABOLITE_	3PY
METABOLITE_	3QL
METABOLITE_	3QZ
METABOLITE_	3R2
METABOLITE_	3RL
METABOLITE_	3SK
METABOLITE_	3SV
METABOLITE_	3SW
METABOLITE_	3T2
METABOLITE_	3TD
METABOLITE_	3TF
METABOLITE_	3V4
METABOLITE_	3VB
METABOLITE_	3VV
METABOLITE_	3WF
METABOLITE_	3WL
METABOLITE_	3WS
METABOLITE_	3WX
METABOLITE_	3X1
METABOLITE_	3XH
METABOLITE_	3XQ
METABOLITE_	3XU
METABOLITE_	3XZ
METABOLITE_	3YM
METABOLITE_	3YN
METABOLITE_	3YW
METABOLITE_	3ZO
METABOLITE_	3ZQ
METABOLITE_	3ZW
METABOLITE_	405
METABOLITE_	408
METABOLITE_	40J
METABOLITE_	40O
METABOLITE_	40S
METABOLITE_	41M
METABOLITE_	41V
METABOLITE_	41W
METABOLITE_	42C
METABOLITE_	42E
METABOLITE_	42H
METABOLITE_	42Y
METABOLITE_	43X
METABOLITE_	44E
METABOLITE_	44G
METABOLITE_	44V
METABOLITE_	45A
METABOLITE_	45C
METABOLITE_	45D
METABOLITE_	45H
METABOLITE_	46D
METABOLITE_	46E
METABOLITE_	47G
METABOLITE_	47N
METABOLITE_	47X
METABOLITE_	480
METABOLITE_	48F
METABOLITE_	48Y
METABOLITE_	491
METABOLITE_	49S
METABOLITE_	49T
METABOLITE_	49Y
METABOLITE_	4AD
METABOLITE_	4AG
METABOLITE_	4AT
METABOLITE_	4BL
METABOLITE_	4BN
METABOLITE_	4BW
METABOLITE_	4BY
METABOLITE_	4CA
METABOLITE_	4CL
METABOLITE_	4CO
METABOLITE_	4D8
METABOLITE_	4DX
METABOLITE_	4DY
METABOLITE_	4EU
METABOLITE_	4EV
METABOLITE_	4FE
METABOLITE_	4FO
METABOLITE_	4FU
METABOLITE_	4G6
METABOLITE_	4GC
METABOLITE_	4GH
METABOLITE_	4HC
METABOLITE_	4HD
METABOLITE_	4HP
METABOLITE_	4HT
METABOLITE_	4IA
METABOLITE_	4IN
METABOLITE_	4IP
METABOLITE_	4JU
METABOLITE_	4K8
METABOLITE_	4KE
METABOLITE_	4KL
METABOLITE_	4KS
METABOLITE_	4KX
METABOLITE_	4L8
METABOLITE_	4LS
METABOLITE_	4LV
METABOLITE_	4M4
METABOLITE_	4M5
METABOLITE_	4MA
METABOLITE_	4MU
METABOLITE_	4MV
METABOLITE_	4MX
METABOLITE_	4MY
METABOLITE_	4N2
METABOLITE_	4N3
METABOLITE_	4NC
METABOLITE_	4NL
METABOLITE_	4NS
METABOLITE_	4OA
METABOLITE_	4OC
METABOLITE_	4OH
METABOLITE_	4OP
METABOLITE_	4OX
METABOLITE_	4OZ
METABOLITE_	4PA
METABOLITE_	4PL
METABOLITE_	4PQ
METABOLITE_	4PW
METABOLITE_	4Q1
METABOLITE_	4QM
METABOLITE_	4QY
METABOLITE_	4R1
METABOLITE_	4RF
METABOLITE_	4RS
METABOLITE_	4TG
METABOLITE_	4TP
METABOLITE_	4U0
METABOLITE_	4U1
METABOLITE_	4U2
METABOLITE_	4U3
METABOLITE_	4UO
METABOLITE_	4UR
METABOLITE_	4VP
METABOLITE_	4VU
METABOLITE_	4WC
METABOLITE_	4WQ
METABOLITE_	4WT
METABOLITE_	4XW
METABOLITE_	4XX
METABOLITE_	4Y8
METABOLITE_	4YA
METABOLITE_	4YH
METABOLITE_	4Z9
METABOLITE_	4ZV
METABOLITE_	505
METABOLITE_	50T
METABOLITE_	51N
METABOLITE_	51S
METABOLITE_	51V
METABOLITE_	523
METABOLITE_	52N
METABOLITE_	52O
METABOLITE_	53C
METABOLITE_	54D
METABOLITE_	55B
METABOLITE_	56B
METABOLITE_	56D
METABOLITE_	56N
METABOLITE_	56S
METABOLITE_	57D
METABOLITE_	57S
METABOLITE_	58A
METABOLITE_	58X
METABOLITE_	5AC
METABOLITE_	5AD
METABOLITE_	5AL
METABOLITE_	5AT
METABOLITE_	5CF
METABOLITE_	5CH
METABOLITE_	5CL
METABOLITE_	5CM
METABOLITE_	5CR
METABOLITE_	5CT
METABOLITE_	5CW
METABOLITE_	5D5
METABOLITE_	5EH
METABOLITE_	5F9
METABOLITE_	5FA
METABOLITE_	5FU
METABOLITE_	5FW
METABOLITE_	5GG
METABOLITE_	5GM
METABOLITE_	5GP
METABOLITE_	5GS
METABOLITE_	5GY
METABOLITE_	5HD
METABOLITE_	5HE
METABOLITE_	5HP
METABOLITE_	5HT
METABOLITE_	5HU
METABOLITE_	5IC
METABOLITE_	5IP
METABOLITE_	5IT
METABOLITE_	5IU
METABOLITE_	5J7
METABOLITE_	5JB
METABOLITE_	5JC
METABOLITE_	5JD
METABOLITE_	5JK
METABOLITE_	5JO
METABOLITE_	5KJ
METABOLITE_	5KQ
METABOLITE_	5M0
METABOLITE_	5MB
METABOLITE_	5MC
METABOLITE_	5MU
METABOLITE_	5MY
METABOLITE_	5N5
METABOLITE_	5N6
METABOLITE_	5NE
METABOLITE_	5OC
METABOLITE_	5OP
METABOLITE_	5OZ
METABOLITE_	5P5
METABOLITE_	5PD
METABOLITE_	5PN
METABOLITE_	5PR
METABOLITE_	5PV
METABOLITE_	5PY
METABOLITE_	5QP
METABOLITE_	5R0
METABOLITE_	5RP
METABOLITE_	5S7
METABOLITE_	5SD
METABOLITE_	5SP
METABOLITE_	5SV
METABOLITE_	5TO
METABOLITE_	5TR
METABOLITE_	5TW
METABOLITE_	5UD
METABOLITE_	5UF
METABOLITE_	5VL
METABOLITE_	5VN
METABOLITE_	5VO
METABOLITE_	5VQ
METABOLITE_	5X8
METABOLITE_	62H
METABOLITE_	62W
METABOLITE_	64K
METABOLITE_	64Z
METABOLITE_	66D
METABOLITE_	68P
METABOLITE_	69O
METABOLITE_	6AB
METABOLITE_	6B5
METABOLITE_	6BK
METABOLITE_	6BW
METABOLITE_	6C2
METABOLITE_	6C4
METABOLITE_	6CK
METABOLITE_	6CL
METABOLITE_	6CM
METABOLITE_	6CW
METABOLITE_	6DM
METABOLITE_	6DN
METABOLITE_	6ES
METABOLITE_	6F5
METABOLITE_	6F8
METABOLITE_	6FA
METABOLITE_	6FH
METABOLITE_	6G0
METABOLITE_	6G4
METABOLITE_	6GB
METABOLITE_	6GT
METABOLITE_	6J6
METABOLITE_	6JM
METABOLITE_	6JO
METABOLITE_	6JP
METABOLITE_	6KU
METABOLITE_	6KW
METABOLITE_	6KX
METABOLITE_	6L1
METABOLITE_	6LA
METABOLITE_	6LB
METABOLITE_	6LN
METABOLITE_	6LR
METABOLITE_	6LS
METABOLITE_	6MA
METABOLITE_	6MC
METABOLITE_	6MD
METABOLITE_	6MJ
METABOLITE_	6MN
METABOLITE_	6MT
METABOLITE_	6MZ
METABOLITE_	6NA
METABOLITE_	6NW
METABOLITE_	6O8
METABOLITE_	6O9
METABOLITE_	6OC
METABOLITE_	6OD
METABOLITE_	6OE
METABOLITE_	6OL
METABOLITE_	6OU
METABOLITE_	6PC
METABOLITE_	6PE
METABOLITE_	6PG
METABOLITE_	6PH
METABOLITE_	6PL
METABOLITE_	6Q5
METABOLITE_	6QA
METABOLITE_	6QT
METABOLITE_	6R9
METABOLITE_	6S2
METABOLITE_	6S8
METABOLITE_	6SB
METABOLITE_	6SW
METABOLITE_	6SX
METABOLITE_	6SY
METABOLITE_	6SZ
METABOLITE_	6U4
METABOLITE_	6UL
METABOLITE_	6UZ
METABOLITE_	6V6
METABOLITE_	6VQ
METABOLITE_	6VW
METABOLITE_	6WM
METABOLITE_	6WT
METABOLITE_	6X6
METABOLITE_	6Y9
METABOLITE_	6YW
METABOLITE_	6YY
METABOLITE_	6ZB
METABOLITE_	6ZL
METABOLITE_	6ZS
METABOLITE_	70G
METABOLITE_	70V
METABOLITE_	71F
METABOLITE_	71V
METABOLITE_	748
METABOLITE_	78H
METABOLITE_	78M
METABOLITE_	78N
METABOLITE_	78T
METABOLITE_	78U
METABOLITE_	791
METABOLITE_	79J
METABOLITE_	79M
METABOLITE_	79N
METABOLITE_	7A2
METABOLITE_	7A3
METABOLITE_	7AB
METABOLITE_	7AN
METABOLITE_	7AW
METABOLITE_	7BA
METABOLITE_	7C3
METABOLITE_	7CV
METABOLITE_	7D1
METABOLITE_	7D3
METABOLITE_	7D4
METABOLITE_	7D5
METABOLITE_	7D7
METABOLITE_	7DV
METABOLITE_	7E0
METABOLITE_	7E8
METABOLITE_	7E9
METABOLITE_	7EX
METABOLITE_	7EZ
METABOLITE_	7F2
METABOLITE_	7F6
METABOLITE_	7FB
METABOLITE_	7FN
METABOLITE_	7FQ
METABOLITE_	7G1
METABOLITE_	7GA
METABOLITE_	7HW
METABOLITE_	7J8
METABOLITE_	7JA
METABOLITE_	7KP
METABOLITE_	7L1
METABOLITE_	7LE
METABOLITE_	7LQ
METABOLITE_	7MQ
METABOLITE_	7MS
METABOLITE_	7N5
METABOLITE_	7N6
METABOLITE_	7O6
METABOLITE_	7P9
METABOLITE_	7PH
METABOLITE_	7UZ
METABOLITE_	7VX
METABOLITE_	7WR
METABOLITE_	7YO
METABOLITE_	7ZU
METABOLITE_	7ZV
METABOLITE_	803
METABOLITE_	818
METABOLITE_	81J
METABOLITE_	82R
METABOLITE_	83X
METABOLITE_	85F
METABOLITE_	85G
METABOLITE_	85J
METABOLITE_	86P
METABOLITE_	86S
METABOLITE_	87X
METABOLITE_	88R
METABOLITE_	89O
METABOLITE_	89V
METABOLITE_	8A1
METABOLITE_	8AC
METABOLITE_	8AN
METABOLITE_	8AR
METABOLITE_	8B6
METABOLITE_	8B7
METABOLITE_	8B9
METABOLITE_	8CM
METABOLITE_	8DD
METABOLITE_	8DG
METABOLITE_	8EW
METABOLITE_	8EX
METABOLITE_	8EZ
METABOLITE_	8FH
METABOLITE_	8GC
METABOLITE_	8GD
METABOLITE_	8GL
METABOLITE_	8GM
METABOLITE_	8GT
METABOLITE_	8HB
METABOLITE_	8HG
METABOLITE_	8ID
METABOLITE_	8JD
METABOLITE_	8JG
METABOLITE_	8JJ
METABOLITE_	8JZ
METABOLITE_	8K1
METABOLITE_	8K6
METABOLITE_	8KL
METABOLITE_	8KW
METABOLITE_	8LR
METABOLITE_	8MB
METABOLITE_	8MD
METABOLITE_	8MG
METABOLITE_	8MK
METABOLITE_	8N2
METABOLITE_	8NA
METABOLITE_	8NK
METABOLITE_	8NU
METABOLITE_	8OD
METABOLITE_	8OG
METABOLITE_	8P0
METABOLITE_	8PE
METABOLITE_	8PG
METABOLITE_	8PK
METABOLITE_	8PP
METABOLITE_	8QL
METABOLITE_	8QN
METABOLITE_	8QP
METABOLITE_	8QS
METABOLITE_	8S0
METABOLITE_	8SK
METABOLITE_	8SP
METABOLITE_	8TU
METABOLITE_	8U8
METABOLITE_	8V0
METABOLITE_	8V3
METABOLITE_	8W5
METABOLITE_	8WU
METABOLITE_	8WY
METABOLITE_	8X0
METABOLITE_	8XA
METABOLITE_	8XC
METABOLITE_	8XG
METABOLITE_	8XU
METABOLITE_	8YP
METABOLITE_	8YV
METABOLITE_	8Z2
METABOLITE_	8ZB
METABOLITE_	91P
